,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
105,tensor(1.0582),tensor(1.0604),tensor(0.0303),tensor(0.4048),050_100,0.030226573,0.1529501
106,tensor(1.0609),tensor(1.0646),tensor(0.0368),tensor(0.4692),050_100,0.0350219,0.16844624
107,tensor(1.0627),tensor(1.0671),tensor(0.0454),tensor(0.5442),050_100,0.0382344,0.17836651
108,tensor(1.0634),tensor(1.0679),tensor(0.0522),tensor(0.6052),050_100,0.039402217,0.18169409
112,tensor(1.0166),tensor(1.0102),tensor(0.0001),tensor(0.),100_030,0.0014615646,0.018664176
113,tensor(1.0224),tensor(1.0105),tensor(0.0014),tensor(0.),100_030,0.0017741019,0.020004142
114,tensor(1.0297),tensor(1.0110),tensor(0.0024),tensor(0.0009),100_030,0.0023515131,0.02217529
115,tensor(1.0369),tensor(1.0117),tensor(0.0030),tensor(0.0045),100_030,0.0031689052,0.024911242
116,tensor(1.0440),tensor(1.0120),tensor(0.0038),tensor(0.0067),100_030,0.004125633,0.027138956
117,tensor(1.0510),tensor(1.0127),tensor(0.0049),tensor(0.0121),100_030,0.005438599,0.030464115
118,tensor(1.0583),tensor(1.0133),tensor(0.0061),tensor(0.0158),100_030,0.0070881546,0.034010645
119,tensor(1.0656),tensor(1.0139),tensor(0.0072),tensor(0.0196),100_030,0.009119147,0.038047817
120,tensor(1.0728),tensor(1.0144),tensor(0.0089),tensor(0.0255),100_030,0.011426468,0.04222233
121,tensor(1.0800),tensor(1.0152),tensor(0.0105),tensor(0.0283),100_030,0.01427654,0.0475045
122,tensor(1.0873),tensor(1.0157),tensor(0.0124),tensor(0.0327),100_030,0.017527863,0.052862205
123,tensor(1.0948),tensor(1.0164),tensor(0.0145),tensor(0.0378),100_030,0.021465532,0.059506357
124,tensor(1.1029),tensor(1.0169),tensor(0.0168),tensor(0.0400),100_030,0.026161788,0.066808626
125,tensor(1.1105),tensor(1.0175),tensor(0.0192),tensor(0.0445),100_030,0.031170193,0.07456534
126,tensor(1.1182),tensor(1.0178),tensor(0.0221),tensor(0.0496),100_030,0.036681034,0.08257827
127,tensor(1.1272),tensor(1.0182),tensor(0.0255),tensor(0.0537),100_030,0.043954663,0.09319401
128,tensor(1.1351),tensor(1.0183),tensor(0.0294),tensor(0.0604),100_030,0.050871506,0.1028986
129,tensor(1.1414),tensor(1.0185),tensor(0.0341),tensor(0.0661),100_030,0.056865893,0.1113652
130,tensor(1.1448),tensor(1.0185),tensor(0.0404),tensor(0.0749),100_030,0.06021172,0.1160526
