frame,axis_0_2,axis_1_3,correct_force_0_2,correct_force_1_3,cycle,strain_x,strain_y,lambda_x,lambda_y,stress_x_mpa,stress_y_mpa
22,0.63,0.63,0.392954786470769,0.3415334153341533,1,9.0,9.0,1.09,1.09,0.1122727961345054,0.0975809758097581
23,0.66,0.66,0.4105646038347756,0.3599389442170284,1,9.428571428571429,9.428571428571429,1.0942857142857143,1.0942857142857143,0.1173041725242216,0.1028396983477224
24,0.69,0.69,0.4272948913513466,0.3780427804278042,1,9.857142857142858,9.857142857142858,1.0985714285714285,1.0985714285714285,0.1220842546718133,0.1080122229793726
25,0.72,0.72,0.442840007980535,0.3949001558981107,1,10.285714285714286,10.285714285714286,1.1028571428571428,1.1028571428571428,0.1265257165658671,0.1128286159708888
26,0.75,0.75,0.4589021902178805,0.4120753707537075,1,10.714285714285714,10.714285714285714,1.1071428571428572,1.1071428571428572,0.131114911490823,0.117735820215345
27,0.78,0.78,0.4752422304304144,0.4257867578675787,1,11.142857142857142,11.142857142857142,1.1114285714285714,1.1114285714285714,0.1357834944086898,0.1216533593907367
28,0.81,0.81,0.4916159564703176,0.4430391563767854,1,11.571428571428571,11.571428571428571,1.1157142857142857,1.1157142857142857,0.1404617018486621,0.1265826161076529
29,0.84,0.84,0.5054095558235264,0.4586448364483644,1,12.0,12.0,1.12,1.12,0.1444027302352932,0.1310413818423898
30,0.87,0.87,0.5188931062953669,0.4731751163665483,1,12.428571428571429,12.428571428571429,1.1242857142857143,1.1242857142857143,0.1482551732272476,0.1351928903904423
31,0.9,0.9,0.5337086932870766,0.4921316454543856,1,12.857142857142858,12.857142857142858,1.1285714285714286,1.1285714285714286,0.1524881980820218,0.1406090415583959
32,0.93,0.93,0.548393154334462,0.5012938922492672,1,13.285714285714286,13.285714285714286,1.1328571428571428,1.1328571428571428,0.1566837583812748,0.1432268263569335
33,0.96,0.96,0.5624599386424588,0.5161436614366144,1,13.714285714285714,13.714285714285714,1.137142857142857,1.137142857142857,0.160702839612131,0.1474696175533184
34,0.99,0.99,0.5766244829015986,0.5313809049420544,1,14.142857142857142,14.142857142857142,1.1414285714285715,1.1414285714285715,0.1647498522575996,0.1518231156977298
35,1.02,1.02,0.588022717503357,0.5426165209927962,1,14.571428571428571,14.571428571428571,1.1457142857142857,1.1457142857142857,0.1680064907152448,0.1550332917122275
36,1.05,1.05,0.6013224797123871,0.5571873218732187,1,15.0,15.0,1.15,1.15,0.1718064227749677,0.1591963776780625
37,1.08,1.08,0.6147082327841447,0.5668794434249762,1,15.428571428571429,15.428571428571429,1.1542857142857144,1.1542857142857144,0.1756309236526127,0.1619655552642789
38,1.11,1.11,0.6268722091359837,0.5810898712435401,1,15.85714285714286,15.85714285714286,1.1585714285714286,1.1585714285714286,0.1791063454674239,0.1660256774981543
39,1.14,1.14,0.6386149679106148,0.5920862903210312,1,16.285714285714285,16.285714285714285,1.1628571428571428,1.1628571428571428,0.1824614194030328,0.1691675115202946
