frame,axis_0_2,correct_force_0_2,cycle,strain_x,lambda_x,stress_x_mpa
45,1.32,0.1395613158335972,1,5.076923076923077,1.0507692307692307,0.0558245263334388
46,1.35,0.1415676991997646,1,5.1923076923076925,1.051923076923077,0.0566270796799058
47,1.38,0.1438620939174421,1,5.307692307692308,1.053076923076923,0.0575448375669768
48,1.41,0.1460829120525411,1,5.423076923076923,1.0542307692307693,0.0584331648210164
49,1.44,0.1494256929760541,1,5.538461538461538,1.0553846153846154,0.0597702771904216
50,1.47,0.1522639477580148,1,5.653846153846154,1.0565384615384616,0.0609055791032059
51,1.5,0.1549111892199639,1,5.769230769230769,1.0576923076923077,0.0619644756879855
52,1.53,0.1567311548583066,1,5.884615384615385,1.0588461538461538,0.0626924619433226
53,1.56,0.1594748828050207,1,6.0,1.06,0.0637899531220082
54,1.59,0.1625297628586254,1,6.115384615384615,1.0611538461538461,0.0650119051434501
55,1.62,0.1649777423582872,1,6.230769230769231,1.0623076923076924,0.0659910969433148
56,1.65,0.1670638111778419,1,6.346153846153846,1.0634615384615385,0.0668255244711367
57,1.68,0.1692742885673501,1,6.461538461538462,1.0646153846153845,0.06770971542694
58,1.71,0.1723472777136562,1,6.576923076923077,1.0657692307692308,0.0689389110854624
59,1.74,0.1752651574000637,1,6.6923076923076925,1.0669230769230769,0.0701060629600254
60,1.77,0.178051378398446,1,6.807692307692308,1.0680769230769231,0.0712205513593784
61,1.8,0.1800197073343478,1,6.923076923076923,1.0692307692307692,0.0720078829337391
62,1.83,0.1815609502484299,1,7.038461538461538,1.0703846153846155,0.0726243800993719
63,1.86,0.183965882119557,1,7.153846153846154,1.0715384615384616,0.0735863528478228
64,1.89,0.1872928540237624,1,7.269230769230769,1.0726923076923076,0.0749171416095049
65,1.92,0.1898763354992599,1,7.384615384615385,1.073846153846154,0.0759505341997039
66,1.95,0.1911968910439701,1,7.5,1.075,0.076478756417588
67,1.98,0.1935816463784343,1,7.615384615384615,1.0761538461538462,0.0774326585513737
68,2.01,0.1968021863716113,1,7.73076923076923,1.0773076923076923,0.0787208745486445
69,2.04,0.1990412281150886,1,7.846153846153846,1.0784615384615384,0.0796164912460354
70,2.07,0.2016741211531344,1,7.961538461538461,1.0796153846153846,0.0806696484612537
71,2.1,0.2037786063257664,1,8.076923076923077,1.0807692307692307,0.0815114425303065
72,2.13,0.2065617120495104,1,8.192307692307692,1.081923076923077,0.0826246848198041
73,2.16,0.208966748821046,1,8.307692307692308,1.083076923076923,0.0835866995284184
74,2.19,0.2117078678824231,1,8.423076923076923,1.0842307692307693,0.0846831471529692
