,lambda,P_experimental,I1,I2,F,experiment_type,P_model_PDMS_StrainEnergyCANN_polinomial3_0
13,0.7720519,-24.37924108,3.186563557381752,3.2217756126644996,"([0.7720519, 0, 0], [0, 1.1380903788997037, 0], [0, 0, 1.1380903788997037])",Compression,-58.372177
14,0.7785257,-21.324973890000003,3.1750604900609787,3.2069379898071757,"([0.7785257, 0, 0], [0, 1.1333486278503382, 0], [0, 0, 1.1333486278503382])",Compression,-53.769638
15,0.7846589,-18.70431399,3.164567834405756,3.193512877030635,"([0.7846589, 0, 0], [0, 1.1289105910249373, 0], [0, 0, 1.1289105910249373])",Compression,-49.761818
16,0.7911327,-16.275122590000002,3.1539118486636712,3.1799878172723375,"([0.7911327, 0, 0], [0, 1.1242821931468945, 0], [0, 0, 1.1242821931468945])",Compression,-45.870155
17,0.7972659,-14.436641530000001,3.1442062783426694,3.167766879438277,"([0.7972659, 0, 0], [0, 1.119949410250271, 0], [0, 0, 1.119949410250271])",Compression,-42.475998
18,0.8037397,-12.87987868,3.1343653189653966,3.1554729939516903,"([0.8037397, 0, 0], [0, 1.1154299201674005, 0], [0, 0, 1.1154299201674005])",Compression,-39.17487
19,0.8098729,-11.567054469999999,3.125417418366713,3.1443821375119123,"([0.8098729, 0, 0], [0, 1.1111982955828144, 0], [0, 0, 1.1111982955828144])",Compression,-36.290913
20,0.8163467,-10.32927686,3.1163614027214814,3.1332442493637513,"([0.8163467, 0, 0], [0, 1.106783508216623, 0], [0, 0, 1.106783508216623])",Compression,-33.481094
21,0.8228206,-9.281007591,3.107697240430795,3.1226724633436955,"([0.8228206, 0, 0], [0, 1.1024208589840894, 0], [0, 0, 1.1024208589840894])",Compression,-30.890678
22,0.8289537,-8.397928721,3.0998442211626025,3.1131635768039114,"([0.8289537, 0, 0], [0, 1.0983351001445125, 0], [0, 0, 1.0983351001445125])",Compression,-28.62127
23,0.8354276,-7.574390559,3.0919229066968725,3.1036446073975483,"([0.8354276, 0, 0], [0, 1.0940712115431774, 0], [0, 0, 1.0940712115431774])",Compression,-26.403595
24,0.8415607,-6.878031911,3.0847612438870344,3.0951032285849998,"([0.8415607, 0, 0], [0, 1.0900772523318116, 0], [0, 0, 1.0900772523318116])",Compression,-24.456612
25,0.8480346,-6.195151455,3.07755702189606,3.0865751646734343,"([0.8480346, 0, 0], [0, 1.0859084535767507, 0], [0, 0, 1.0859084535767507])",Compression,-22.549812
26,0.8541677,-5.588711772,3.07106304176122,3.0789448143093505,"([0.8541677, 0, 0], [0, 1.0820029071213095, 0], [0, 0, 1.0820029071213095])",Compression,-20.871834
27,0.8606416,-5.0700682299999995,3.064551660531585,3.0713502295748105,"([0.8606416, 0, 0], [0, 1.0779257156411626, 0], [0, 0, 1.0779257156411626])",Compression,-19.224384
28,0.8671154,-4.577102788,3.0583871908759432,3.0642141412938946,"([0.8671154, 0, 0], [0, 1.0738943323155177, 0], [0, 0, 1.0738943323155177])",Compression,-17.692955
29,0.8732486,-4.156739467,3.0528616646884945,3.0578640589257025,"([0.8732486, 0, 0], [0, 1.0701164766712394, 0], [0, 0, 1.0701164766712394])",Compression,-16.339706
30,0.8797224,-3.722445967,3.0473559421718193,3.051582206703557,"([0.8797224, 0, 0], [0, 1.0661717594060676, 0], [0, 0, 1.0661717594060676])",Compression,-15.005299
31,0.8858556,-3.342082742,3.0424444471002996,3.046018380001424,"([0.8858556, 0, 0], [0, 1.0624745415888655, 0], [0, 0, 1.0624745415888655])",Compression,-13.822439
32,0.8923294,-2.963421862,3.037576542427279,3.040542997205045,"([0.8923294, 0, 0], [0, 1.058613429048328, 0], [0, 0, 1.058613429048328])",Compression,-12.652107
33,0.8984626,-2.630604768,3.0332598107955246,3.035721766043353,"([0.8984626, 0, 0], [0, 1.0549940206457962, 0], [0, 0, 1.0549940206457962])",Compression,-11.610964
34,0.9049364,-2.3104642749999997,3.02900995695588,3.0310083786500135,"([0.9049364, 0, 0], [0, 1.0512136007755322, 0], [0, 0, 1.0512136007755322])",Compression,-10.576927
35,0.9114103,-2.006731147,3.0250700929294263,3.0266699299797777,"([0.9114103, 0, 0], [0, 1.0474734741231724, 0], [0, 0, 1.0474734741231724])",Compression,-9.603485
36,0.9175434,-1.740135423,3.0216192964096633,3.0228962297916064,"([0.9175434, 0, 0], [0, 1.0439668111405898, 0], [0, 0, 1.0439668111405898])",Compression,-8.73204
37,0.9240173,-1.4821889320000001,3.018269610107989,3.0192581471179487,"([0.9240173, 0, 0], [0, 1.0403032344967258, 0], [0, 0, 1.0403032344967258])",Compression,-7.860733
38,0.9301504,-1.260755535,3.0153696713925497,3.0161299566462745,"([0.9301504, 0, 0], [0, 1.0368678567619862, 0], [0, 0, 1.0368678567619862])",Compression,-7.07699
39,0.9366243,-1.048869486,3.012592979769046,3.01315491057648,"([0.9366243, 0, 0], [0, 1.033278254009673, 0], [0, 0, 1.033278254009673])",Compression,-6.289419
40,0.9427574,-0.8704855419,3.0102280587387997,3.010638052007377,"([0.9427574, 0, 0], [0, 1.0299117786208778, 0], [0, 0, 1.0299117786208778])",Compression,-5.57724
41,0.9492313,-0.7059628561,3.0080080886080047,3.008291167446267,"([0.9492313, 0, 0], [0, 1.0263936934013953, 0], [0, 0, 1.0263936934013953])",Compression,-4.85763
42,0.9557051,-0.5585863401000001,3.006067987095256,3.0062540743966344,"([0.9557051, 0, 0], [0, 1.022911469514651, 0], [0, 0, 1.022911469514651])",Compression,-4.167553
