,lambda,P_experimental,I1,I2,F,experiment_type,P_model,P_model_,P_model_brain_StrainEnergyCANN_C0
10,0.9625,-0.1305,3.004328327922078,3.0044400404790013,"([0.9625, 0, 0], [0, 1.019294382875251, 0], [0, 0, 1.019294382875251])",Compression,[-0.01630402],-0.01632805,-0.01437017
11,0.9688,-0.104,3.0029830188604456,3.003046727322691,"([0.9688, 0, 0], [0, 1.0159747976353661, 0], [0, 0, 1.0159747976353661])",Compression,[-0.00918601],-0.00920011,-0.00809646
12,0.975,-0.08,3.0019070512820516,3.001939513477975,"([0.975, 0, 0], [0, 1.0127393670836666, 0], [0, 0, 1.0127393670836666])",Compression,[-0.00462569],-0.00463306,-0.00407704
13,0.9812,-0.0543,3.001073863970648,3.0010875376939707,"([0.9812, 0, 0], [0, 1.0095346512058534, 0], [0, 0, 1.0095346512058534])",Compression,[-0.00192553],-0.00192871,-0.00169714
14,0.9875,-0.0387,3.000472705696202,3.000476686428457,"([0.9875, 0, 0], [0, 1.0063092108532552, 0], [0, 0, 1.0063092108532552])",Compression,[-0.00055394],-0.0005549,-0.00048824
15,0.9938,-0.0193,3.0001157996297043,3.0001162807555364,"([0.9938, 0, 0], [0, 1.0031144898838078, 0], [0, 0, 1.0031144898838078])",Compression,[-6.622379e-05],-6.634137e-05,-5.8369013e-05
16,1.0,0.0,3.0,3.0,"([1.0, 0, 0], [0, 1.0, 0], [0, 0, 1.0])",Compression,[0.],0.0,0.0
17,1.0063,0.0157,3.0001185730368674,3.0001180776293688,"([1.0063, 0, 0], [0, 0.9968648060386293, 0], [0, 0, 0.9968648060386293])",Tensile,[6.6571636e-05],6.669806e-05,5.867565e-05
18,1.0125,0.0235,3.0004648919753087,3.0004610577655844,"([1.0125, 0, 0], [0, 0.9938079899999066, 0], [0, 0, 0.9938079899999066])",Tensile,[0.00050979],0.00051079,0.00044933
19,1.0188,0.0345,3.0010472758853552,3.00103435212277,"([1.0188, 0, 0], [0, 0.9907304971296067, 0], [0, 0, 0.9907304971296067])",Tensile,[0.00169869],0.00170213,0.00149721
20,1.025,0.0423,3.001844512195122,3.001814396192742,"([1.025, 0, 0], [0, 0.9877295966495897, 0], [0, 0, 0.9877295966495897])",Tensile,[0.00391526],0.00392341,0.00345087
21,1.0312,0.0509,3.002861415174554,3.002803401461673,"([1.0312, 0, 0], [0, 0.9847558009919398, 0], [0, 0, 0.9847558009919398])",Tensile,[0.00745997],0.00747597,0.00657514
22,1.0375,0.0572,3.0041170933734938,3.0040172739149367,"([1.0375, 0, 0], [0, 0.9817613873476319, 0], [0, 0, 0.9817613873476319])",Tensile,[0.01269558],0.01272359,0.01118975
23,1.0437,0.0642,3.005569151531091,3.005412580976857,"([1.0437, 0, 0], [0, 0.9788410140393309, 0], [0, 0, 0.9788410140393309])",Tensile,[0.01970001],0.01974468,0.01736335
