reg,xi1,xi2,xi3,r1,r2,r3
0,0.012163685,0.003018831,-0.005011798,0.003744387,0.005924707,-4.28E-05
0,0.004791654,0.005717508,-0.001319151,0.003716762,0.005940869,3.27E-06
0,0.003787204,0.003067079,0.003471262,0.003713071,0.005925131,1.29E-05
0,0.003699623,-0.000378954,0.006885424,0.003712792,0.005904747,1.32E-05
0,0.004172097,0.001803091,0.001095905,0.00371447,0.00591765,1.13E-05
0,0.00497891,0.002076603,-0.000269385,0.003717455,0.005919271,9.64E-06
0,0.00566825,0.00044739,0.002224021,0.003720036,0.005909641,4.92E-06
0,0.005923503,-0.000554081,0.002442113,0.00372097,0.005903727,-2.40E-06
0,0.005155049,-0.000949412,0.00162566,0.003718097,0.005901387,-9.76E-06
0,0.007104011,0.009976419,-0.006143869,0.003725425,0.005966218,-9.58E-06
0,0.003154438,0.004765189,0.00238579,0.003710713,0.005935183,1.95E-05
0,0.000999487,-0.00210353,0.006829445,0.003702798,0.005894564,1.67E-05
0,0.001737922,0.001982575,0.004027544,0.003705478,0.005918708,1.30E-05
0,0.005034637,0.001581472,0.003929013,0.003717723,0.005916324,1.74E-05
0,0.00621833,-0.003298986,0.002728709,0.00372209,0.005887541,7.03E-06
0,0.004599949,-0.000716892,-0.000168676,0.003716053,0.005902764,-6.18E-06
0,0.000331775,0.001806663,0.003085074,0.003700264,0.005917659,1.64E-05
0,0.000643793,0.003139166,-0.006573729,0.006219002,0.00816158,1.22E-07
0,0.007946384,0.004459346,-0.00258439,0.006264589,0.008172362,-2.32E-06
0,0.00675515,0.006144863,-0.000641532,0.006257106,0.0081861,-2.83E-05
0,0.0056921,0.004922191,-0.006911948,0.006250675,0.008176054,-3.88E-05
0,0.007483891,0.004715351,-0.006154057,0.006261814,0.008174414,-2.57E-05
0,0.007425071,0.005490268,-0.004142619,0.006261407,0.008180713,-3.60E-05
0,0.007835569,0.002414221,-0.009731526,0.006264234,0.008155542,-4.53E-05
0,0.016279423,0.00030808,-0.004729142,0.006316857,0.00813847,2.50E-05
0,0.003746634,0.004317505,-0.000713978,0.006238332,0.008171198,-9.37E-06
0,0.007121602,0.003288612,2.26E-05,0.006259419,0.0081628,-1.66E-06
0,0.007083409,0.002455091,-0.001366402,0.006259188,0.008155995,-8.61E-06
0,0.006870998,0.005298012,-0.003056063,0.006257885,0.008179206,-1.49E-05
0,0.007586019,0.005137064,-0.003393423,0.006262368,0.008177888,-1.58E-05
0,0.007906982,0.001965145,-0.003564379,0.006264391,0.008151977,-2.11E-05
0,0.008518654,0.005238211,-0.003528478,0.006268226,0.008178697,-2.32E-05
0,0.011621211,0.007945359,-0.000567415,0.006287647,0.008200901,1.06E-07
0,0.008327513,0.005563023,-0.001748458,0.006266988,0.008181368,-1.75E-05
0,0.005959237,0.004343373,0.000876376,0.006252149,0.008171414,1.94E-06
0,0.007262724,0.002835584,0.002656424,0.006260334,0.008159086,1.70E-05
0,0.008262646,0.004158748,0.000750806,0.006266565,0.008169891,1.58E-05
0,0.007790581,0.004089462,-0.001441288,0.006263609,0.00816934,-9.68E-07
0,0.008548365,0.002632541,1.76E-05,0.006268356,0.008157447,-9.68E-07
0,0.009217437,0.004809618,-0.000491827,0.00627255,0.008175225,2.55E-06
0,0.005493659,0.006482729,-0.006088905,0.006249396,0.008188835,-3.61E-05
0,0.00810148,0.006543214,-0.000319772,0.006265551,0.008189407,7.18E-06
0,0.006259522,0.00488465,0.001675388,0.006254039,0.008175829,1.24E-05
0,0.005964188,0.002624326,0.001766983,0.00625218,0.008157379,1.09E-06
0,0.006705673,0.003540114,-0.001269424,0.006256821,0.008164852,-5.24E-06
0,0.00799398,0.003442872,-0.001143978,0.006264883,0.008164059,-1.51E-06
0,0.008196073,0.002331323,-0.00057308,0.006266149,0.008154984,-1.00E-05
0,0.007868223,0.003728089,-0.004358144,0.006264177,0.008166346,-2.65E-05
0,0.009023491,0.004840992,-0.006389086,0.006271489,0.008175422,-3.13E-05
0,0.006616853,0.007063963,0.000346759,0.006256249,0.008193653,1.93E-05
0,0.006061493,0.004081665,0.001478147,0.006252798,0.008169261,1.59E-05
0,0.006295148,0.000465745,0.001689812,0.006254249,0.00813979,7.24E-07
0,0.006901487,0.003931383,-0.00027657,0.006258041,0.008168046,-6.90E-06
0,0.007580259,0.00369608,-0.000404549,0.006262291,0.008166126,-2.88E-06
0,0.007566126,-0.000243168,-0.001518457,0.006262213,0.008134015,-1.05E-05
0,0.007892209,0.00293399,-0.00365866,0.006264309,0.008159862,-2.69E-05
0,0.011371827,0.00570005,-0.00481192,0.006286193,0.008182429,-3.61E-05
0,0.003859224,0.006822778,0.000250916,0.006239019,0.008191678,1.89E-05
0,0.005364757,0.003660791,0.001739032,0.006248446,0.008165829,1.25E-05
0,0.008251748,-0.000237668,0.004875122,0.006266562,0.008134051,1.59E-05
0,0.008849606,0.003217549,0.001609216,0.006270256,0.008162213,1.08E-05
0,0.006548706,0.003202313,-0.001194057,0.006255839,0.008162094,-5.11E-06
0,0.006659814,-0.000278978,7.35E-05,0.006256528,0.00813373,-2.31E-06
0,0.009289728,0.001539627,0.001288783,0.006273006,0.008148536,1.25E-06
0,0.012551923,0.003320949,-0.004572292,0.006293615,0.008162911,-5.05E-05
0,0.005259182,0.007012891,-0.001861709,0.006247768,0.008193257,2.20E-06
0,0.00434992,0.004012891,0.00339248,0.006242139,0.008168695,1.78E-05
0,0.004615857,7.44E-06,0.007133655,0.006243869,0.00813604,1.83E-05
0,0.005209328,0.002060706,0.001569628,0.006247474,0.008152768,1.60E-05
0,0.005793832,0.002259302,0.000432065,0.006251109,0.008154389,1.48E-05
0,0.006417923,0.000608219,0.002965743,0.006255038,0.008140945,8.66E-06
0,0.007029274,-0.000155338,0.00232655,0.006258835,0.008134736,-2.23E-06
0,0.00747461,-0.000390161,0.000727674,0.006261608,0.008132813,-1.47E-05
0,0.006653406,0.010662879,-0.005198674,0.006256531,0.008223213,-8.86E-06
0,0.003790441,0.005400035,0.002220925,0.006238629,0.008180024,2.20E-05
0,0.001855571,-0.001460797,0.006537774,0.006226643,0.008124105,1.74E-05
0,0.00244904,0.002929664,0.003995184,0.006230293,0.008159854,1.65E-05
0,0.005466122,0.002254369,0.004617499,0.006249159,0.008154313,2.85E-05
0,0.006409019,-0.003477072,0.003687638,0.006255004,0.008107747,1.46E-05
0,0.005284653,-0.001022869,0.000894404,0.006247919,0.008127677,-9.24E-06
0,0.003890437,0.001554991,0.003371532,0.006239259,0.008148653,1.16E-05
0,0.003098644,0.004845773,-0.005349739,0.008456106,0.010281698,9.72E-06
0,0.008504065,0.005649814,-0.003103182,0.008502018,0.010289969,-8.32E-06
0,0.007951708,0.006747573,-0.001115774,0.008497287,0.010301209,-3.68E-05
0,0.007542567,0.006230286,-0.007053478,0.008494072,0.010295834,-4.84E-05
0,0.00910168,0.005884731,-0.006840242,0.008507284,0.010292316,-3.91E-05
0,0.00868292,0.005689802,-0.00467118,0.008503651,0.010290254,-5.18E-05
0,0.008765806,0.003336714,-0.009881035,0.008504654,0.010266042,-5.69E-05
0,0.017003651,0.001880503,-0.004659711,0.008574348,0.010251199,3.59E-05
0,0.005424007,0.004882161,-0.002162577,0.008475869,0.010282069,-1.25E-05
0,0.008410577,0.004194086,-0.000499506,0.008501201,0.010275004,-3.10E-06
0,0.008440854,0.003761867,-0.000578059,0.008501459,0.010270558,-1.11E-05
0,0.008396387,0.006168919,-0.003070949,0.008501124,0.010295298,-1.91E-05
0,0.009214715,0.005772069,-0.003959945,0.008508107,0.010291207,-2.20E-05
0,0.009458374,0.002567525,-0.004232687,0.008510203,0.010258262,-3.00E-05
0,0.009941321,0.006612985,-0.004127331,0.008514315,0.010299838,-3.22E-05
0,0.013222212,0.009840547,-0.000727836,0.008542202,0.010333185,1.59E-06
0,0.008939218,0.007025119,-0.003497365,0.008505768,0.01030408,-3.34E-05
0,0.008110246,0.005550116,0.00100907,0.008498652,0.010288944,6.86E-06
