file,frame,cell,x,y,F_AniFEM_xx,F_AniFEM_xy,F_AniFEM_yx,F_AniFEM_yy,C_xx,C_yy,C_xy,PK2_xx,PK2_yy,PK2_xy,xi1,xi2,xi3,dpsidksi1,dpsidksi2,dpsidksi3,dpsidksi1_Sxy0,dpsidksi2_Sxy0,dpsidksi3_Sxy0
0_1_stretch1_01_txt.vtk,0,484,4.858414,-4.101285,0.996011,-9.7e-05,0.006563,-1.016357,0.992081,1.032981,-0.006767,0.007055,0.023888,-0.002785,-0.003975,0.016202,-0.006821,0.007035,0.024674,-0.002925,0.006998,0.024674,-0.000162
0_1_stretch1_01_txt.vtk,0,487,4.532304,-4.466203,0.995612,8.8e-05,0.006496,-1.017052,0.991285,1.034394,-0.006519,0.006956,0.024678,-0.00268,-0.004377,0.016887,-0.006576,0.006929,0.025525,-0.002817,0.006894,0.025525,-0.000161
0_1_stretch1_01_txt.vtk,0,490,4.80146,-4.378689,0.995999,-4e-05,0.006726,-1.017128,0.992059,1.034549,-0.006882,0.007679,0.025114,-0.002824,-0.003986,0.01696,-0.006937,0.007656,0.02598,-0.002974,0.007617,0.02598,-0.000173
0_1_stretch1_01_txt.vtk,0,497,-3.928133,-1.826427,0.995658,5.6e-05,-0.00251,-1.016932,0.991341,1.03415,0.002609,0.006934,0.024537,0.001073,-0.004348,0.016787,0.002631,0.006879,0.025375,0.001127,0.006873,0.025375,6.4e-05
0_1_stretch1_01_txt.vtk,0,498,-3.986641,-2.103503,0.995628,0.000202,-0.002529,-1.016839,0.991281,1.033961,0.002773,0.006804,0.024363,0.001141,-0.004378,0.016695,0.002797,0.006751,0.02519,0.001198,0.006744,0.02519,6.8e-05
0_1_stretch1_01_txt.vtk,0,504,-2.085248,-3.796819,0.994342,-0.000182,-0.002206,-1.019126,0.988721,1.038617,0.002066,0.006518,0.026967,0.000847,-0.005671,0.018943,0.00209,0.006448,0.028009,0.000893,0.006444,0.028009,5.6e-05
0_1_stretch1_01_txt.vtk,0,509,-4.161572,-2.935288,0.995665,0.000193,-0.003728,-1.016934,0.991364,1.034154,0.003983,0.006947,0.024542,0.001638,-0.004337,0.016784,0.004017,0.0069,0.02538,0.001721,0.006887,0.02538,9.8e-05
0_1_stretch1_01_txt.vtk,0,510,-4.102982,-2.657982,0.995691,6.8e-05,-0.003725,-1.016947,0.991415,1.034181,0.003856,0.007003,0.024585,0.001585,-0.004311,0.016798,0.003889,0.006954,0.025425,0.001667,0.006942,0.025425,9.5e-05
0_1_stretch1_01_txt.vtk,0,517,3.329398,0.561696,0.995171,8.3e-05,-0.000467,-1.017308,0.990366,1.034915,0.000557,0.006416,0.024743,0.000229,-0.00484,0.017159,0.000562,0.006354,0.025607,0.000241,0.006354,0.025607,1.4e-05
0_1_stretch1_01_txt.vtk,0,518,2.67927,-0.168255,0.994715,3.1e-05,0.000241,-1.017916,0.989457,1.036152,-0.000214,0.006143,0.025343,-8.8e-05,-0.005299,0.017757,-0.000216,0.006079,0.026259,-9.2e-05,0.006079,0.026259,-5e-06
0_1_stretch1_01_txt.vtk,0,520,-2.8945,-4.067191,0.994659,-0.000218,-0.003359,-1.018723,0.989358,1.037796,0.003204,0.006724,0.026582,0.001314,-0.00535,0.018544,0.003239,0.00666,0.027586,0.001385,0.006652,0.027586,8.5e-05
0_1_stretch1_01_txt.vtk,0,523,2.524288,0.296283,0.994622,4.2e-05,-0.000142,-1.018065,0.989273,1.036457,0.000186,0.00611,0.025506,7.7e-05,-0.005392,0.017904,0.000188,0.006044,0.026436,8e-05,0.006044,0.026436,5e-06
0_1_stretch1_01_txt.vtk,0,527,3.844319,3.048775,0.995375,0.000111,-0.003538,-1.017379,0.990783,1.03506,0.00371,0.006823,0.025018,0.001525,-0.00463,0.017223,0.003745,0.006771,0.025895,0.001603,0.00676,0.025895,9.3e-05
0_1_stretch1_01_txt.vtk,0,533,2.235018,-4.698435,0.994439,0.000357,0.002965,-1.019431,0.988917,1.039239,-0.002668,0.006939,0.02753,-0.001092,-0.005572,0.019241,-0.002698,0.006867,0.02861,-0.001153,0.006862,0.02861,-7.3e-05
0_1_stretch1_01_txt.vtk,0,539,-4.436165,-0.706928,0.996201,0.000165,-0.000842,-1.015878,0.992417,1.032009,0.00102,0.00698,0.023292,0.00042,-0.003806,0.015753,0.001028,0.006927,0.024038,0.000441,0.006927,0.024038,2.4e-05
0_1_stretch1_01_txt.vtk,0,545,1.425732,-4.966372,0.994307,0.000301,0.001927,-1.019745,0.98865,1.039879,-0.001666,0.006975,0.027922,-0.000681,-0.005707,0.019551,-0.001685,0.006898,0.029036,-0.00072,0.006896,0.029036,-4.7e-05
0_1_stretch1_01_txt.vtk,0,549,2.352156,-0.533234,0.994521,2.1e-05,0.000474,-1.018192,0.989071,1.036715,-0.000462,0.006042,0.025626,-0.00019,-0.005494,0.018028,-0.000467,0.005976,0.026567,-0.000199,0.005976,0.026567,-1.2e-05
0_1_stretch1_01_txt.vtk,0,550,2.294716,-0.809638,0.994534,-4.4e-05,0.000519,-1.018409,0.989098,1.037158,-0.000573,0.006247,0.025984,-0.000235,-0.005481,0.018242,-0.000579,0.006179,0.02695,-0.000247,0.006179,0.02695,-1.5e-05
0_1_stretch1_01_txt.vtk,0,551,3.161985,-0.268345,0.995044,3.1e-05,0.00039,-1.017446,0.990112,1.035197,-0.000366,0.006314,0.024862,-0.000151,-0.004969,0.017296,-0.00037,0.006252,0.025737,-0.000158,0.006251,0.025737,-9e-06
0_1_stretch1_01_txt.vtk,0,578,3.926827,-2.598033,0.995479,-8e-05,0.003382,-1.016946,0.990991,1.034179,-0.003519,0.00664,0.024411,-0.001448,-0.004525,0.016798,-0.003551,0.00659,0.025245,-0.001521,0.00658,0.025245,-8.6e-05
0_1_stretch1_01_txt.vtk,0,589,3.538684,3.97727,0.995022,-0.000119,-0.004145,-1.018154,0.990085,1.036637,0.004102,0.006868,0.025968,0.001683,-0.004982,0.017983,0.004143,0.006814,0.026919,0.001773,0.0068,0.026919,0.000107
0_1_stretch1_01_txt.vtk,0,592,4.576794,-1.870479,0.996222,-0.000158,0.002958,-1.015825,0.992467,1.031901,-0.003162,0.006971,0.02322,-0.001303,-0.003781,0.015697,-0.003186,0.006926,0.023961,-0.001367,0.006918,0.023961,-7.3e-05
0_1_stretch1_01_txt.vtk,0,602,3.633813,3.235624,0.995199,-4.4e-05,-0.003893,-1.017692,0.990436,1.035697,0.003918,0.006785,0.025376,0.001609,-0.004805,0.01753,0.003955,0.006733,0.026281,0.001693,0.00672,0.026281,9.9e-05
