Xlam,PX,Ylam,PY,file,lambda_x,lambda_y,cycle_number,stress_x_mpa,stress_y_mpa
1.12,0.0948783712565733,1.0,-0.0024224818242643,csv_30.csv,1.12017235210863,0.9579699849070074,0,0.08969827604326484,-0.00235393369792575
1.124,0.0979806578365911,1.0,-0.00252321064638,csv_31.csv,1.1248327056567424,0.9564393318612378,0,0.09294226958712751,-0.00258391671621775
1.128,0.1009335548610001,1.0,-0.0027947613375345,csv_32.csv,1.1292954353146405,0.9550802285960474,0,0.0951740304760509,-0.00248126369221285
1.132,0.1026869875147164,1.0,-0.0022681285327786,csv_33.csv,1.1334754630623054,0.9537638013911623,0,0.0984806082997999,-0.0022255734193972502
1.136,0.1052896779430757,1.0,-0.0024132972713889,csv_34.csv,1.1380486714630005,0.9521842042471071,0,0.10061804839711866,-0.0022524515890858
1.14,0.1075008371108615,1.0,-0.0026116959728627,csv_35.csv,1.1411550387126432,0.9511827582944492,0,0.10289210109328785,-0.0023948740934175497
1.144,0.1085714894026334,1.0,-0.0021879508634736,csv_36.csv,1.1454416766028293,0.9498827726624888,0,0.10507662267506054,-0.0023135662658576002
1.148,0.1118545958320375,1.0,-0.0024183110904432,csv_37.csv,1.1497636291054316,0.9483844514108494,0,0.1082140757231644,-0.0024133807623081
1.152,0.1160092944447963,1.0,-0.0023823834104911,csv_38.csv,1.15434062649908,0.9469321182247952,0,0.11117660164069709,-0.0023523176006428
1.156,0.1166308267386176,1.0,-0.0021220877416741,csv_39.csv,1.157389386982134,0.945999404241024,0,0.1135789692005475,-0.00228731106680515
1.16,0.119586882920234,1.0,-0.0023515120349094,csv_40.csv,1.161654242868153,0.9447124688917062,0,0.11603543734032484,-0.0023002901929271
1.164,0.121107882189933,1.0,-0.002281008692731,csv_41.csv,1.1661841559832102,0.9436228123307748,0,0.1177274132128294,-0.0023213834308302
1.168,0.1227055908985015,1.0,-0.0024310175104942,csv_42.csv,1.170699732505489,0.9419582360654928,0,0.12049124253147289,-0.0023852646873814
1.172,0.1255378781102625,1.0,-0.0024976896618372,csv_43.csv,1.1747790554605575,0.940779571843209,0,0.12269477550219302,-0.0023518022592764
1.176,0.1277060671532641,1.0,-0.0022639693858619,csv_44.csv,1.1778074649607846,0.939793044322924,0,0.125292315302623,-0.00222115991234145
1.18,0.1302662970520176,1.0,-0.002762318005258,csv_45.csv,1.1823274563657042,0.9384558943304828,0,0.12835113221047523,-0.00277949517718995
1.184,0.1327496537289766,1.0,-0.0024287061989482,csv_46.csv,1.1865085902925605,0.937167354860347,0,0.1305489134816886,-0.002322557740246
1.188,0.133332460257872,1.0,-0.0024366603329294,csv_47.csv,1.190811137755634,0.9358550688162705,0,0.1324469351582085,-0.00242016251223665
1.192,0.1362922669504472,1.0,-0.0026592640776624,csv_48.csv,1.1952933833298154,0.934528963181746,0,0.13547919375346365,-0.0025597576739593
1.196,0.1396076988735815,1.0,-0.0022890177902331,csv_49.csv,1.1982189415971722,0.933659012131158,0,0.13754503182147534,-0.0023557498072487
1.2,0.1406314268235275,1.0,-0.0025598600249481,csv_50.csv,1.200556416606465,0.932945683369828,0,0.1406314268235275,-0.0025598600249481
1.0,-0.010238046361945,1.0,-0.002747872997792,csv_100.csv,0.9987349506850732,1.0003783976296097,1,-0.0051190231809725,-0.001373936498896
1.00296,-0.0070040159692784,1.0,-0.0022236676495047,csv_101.csv,1.0018256247969952,0.9990983079363058,1,-0.007709774535484749,-0.00239948650899865
1.006,-0.0034324374821014,1.0,-0.0024056112914805,csv_102.csv,1.005080048835321,0.997850955883832,1,-0.00416914356130415,-0.002299331652468
1.00896,-0.0012687088907925,1.0,-0.0023187635808174,csv_103.csv,1.0080796169879105,0.9965756320246796,1,-0.00251196664345305,-0.0024306718345134
1.012,0.0016996903509903,1.0,-0.0021489922577762,csv_104.csv,1.010216464972145,0.9956956447154413,1,0.00054802312231295,-0.0021224312106255
1.01496,0.0060742537088069,1.0,-0.002650279536827,csv_105.csv,1.013423929881778,0.9945710475907156,1,0.00343230110707185,-0.0025927065539093
1.018,0.0087018653232509,1.0,-0.001994060724586,csv_106.csv,1.016550335831342,0.993351986577472,1,0.0058486190482457,-0.0019961070546638997
1.02096,0.0109402641843878,1.0,-0.0025613472868894,csv_107.csv,1.019689875928647,0.9921815925462794,1,0.0092530858141321,-0.00263509779535725
1.024,0.014186863216014,1.0,-0.0022499837163912,csv_108.csv,1.022992891292377,0.9910086050285792,1,0.011765760158342749,-0.0022905740218434
