Xlam_clamps,PX_hist,Ylam_clamps,PY_hist,file,Xlam,Ylam,cycle_number,PX,PY
1.01696,0.0095030920502807,1.02152,0.015747015163775,csv_409.csv,1.0067875236824553,1.0074998505385262,2,0.00706622536010165,0.011874429447747251
1.01848,0.0117231679126921,1.02352,0.0180326290366078,csv_410.csv,1.0077745192848448,1.0083811797649394,2,0.00915312199599295,0.013975041040092902
1.02,0.0140076570011958,1.02552,0.0203820545645932,csv_411.csv,1.0087342305709868,1.0094389238939547,2,0.01122060026538025,0.0160923707616705
1.02144,0.0162788971695591,1.02752,0.0229525118799455,csv_412.csv,1.0092124304355603,1.010105121896696,2,0.01322315077304985,0.0184694636940433
1.02296,0.0187637639905441,1.02952,0.0255575923484102,csv_413.csv,1.0099870575081882,1.0113385179100352,2,0.015558793822054901,0.02084212527977535
1.02448,0.0213771668247742,1.03152,0.0282514550839952,csv_414.csv,1.0107766612293745,1.0124211134840375,2,0.01796852306585415,0.0231936194917846
1.026,0.0238696768644729,1.03352,0.0306449383111555,csv_415.csv,1.0116507782409463,1.0134869636744526,2,0.02025209909994275,0.02564297139920265
1.02744,0.0263981545865318,1.03552,0.0336472774107872,csv_416.csv,1.0124123338808453,1.0148736185561626,2,0.0226133957238476,0.0282706607581847
1.02896,0.0290251472043328,1.03752,0.0365450399212986,csv_417.csv,1.0131294312852506,1.0156769044409684,2,0.025114632495759147,0.0308323762364949
1.03048,0.0314528588606547,1.03952,0.0399452739224983,csv_418.csv,1.013867767203812,1.0170804356274925,2,0.027450576559052753,0.03377301914097405
1.032,0.033931122525534,1.04152,0.0426799503444769,csv_419.csv,1.0146477134769694,1.0182499814362216,2,0.029745627717398,0.03644374160342125
1.03344,0.0362965573295761,1.04352,0.0452372970637204,csv_420.csv,1.0153772608010547,1.0197529574234832,2,0.032124639988998754,0.039026782168820495
1.03496,0.0388459770019165,1.04552,0.0484732591065647,csv_421.csv,1.01583071724817,1.0204822439060988,2,0.034482674347562,0.0420406268409974
1.03648,0.0412700246938392,1.04752,0.0511846318688966,csv_422.csv,1.016585874846538,1.02195431161102,2,0.03684190656148285,0.044669242360127856
1.038,0.0436409677112284,1.04952,0.0536380924387833,csv_423.csv,1.0173622468332453,1.0231350975458366,2,0.0392397747957276,0.0472500021025684
1.03944,0.0458911910479553,1.05152,0.0572723863668136,csv_424.csv,1.018042218632324,1.024492084111894,2,0.041490249773218094,0.05026005570892085
1.04096,0.0481381777366462,1.05352,0.0594375044775579,csv_425.csv,1.0187804086428809,1.0258797612941424,2,0.043608127113658746,0.05242078647778825
1.04248,0.0507546552387183,1.05552,0.0629174302484677,csv_426.csv,1.0193219034403795,1.0267882081771909,2,0.04610966597272035,0.055787239047700554
