,lambda,P_experimental,I1,I2,F,experiment_type,P_model_PDMS_StrainEnergyCANN_C_0
30,0.8797224,-0.3722445967,3.0473559421718193,3.051582206703557,"([0.8797224, 0, 0], [0, 1.0661717594060676, 0], [0, 0, 1.0661717594060676])",Compression,-11.511648
31,0.8858556,-0.3342082742,3.0424444471002996,3.046018380001424,"([0.8858556, 0, 0], [0, 1.0624745415888655, 0], [0, 0, 1.0624745415888655])",Compression,-10.713814
32,0.8923294,-0.2963421862,3.037576542427279,3.040542997205045,"([0.8923294, 0, 0], [0, 1.058613429048328, 0], [0, 0, 1.058613429048328])",Compression,-9.907234
33,0.8984626,-0.2630604768,3.0332598107955246,3.035721766043353,"([0.8984626, 0, 0], [0, 1.0549940206457962, 0], [0, 0, 1.0549940206457962])",Compression,-9.174431
34,0.9049364,-0.23104642749999998,3.02900995695588,3.0310083786500135,"([0.9049364, 0, 0], [0, 1.0512136007755322, 0], [0, 0, 1.0512136007755322])",Compression,-8.43166
35,0.9114103,-0.2006731147,3.0250700929294263,3.0266699299797777,"([0.9114103, 0, 0], [0, 1.0474734741231724, 0], [0, 0, 1.0474734741231724])",Compression,-7.718191
36,0.9175434,-0.1740135423,3.0216192964096633,3.0228962297916064,"([0.9175434, 0, 0], [0, 1.0439668111405898, 0], [0, 0, 1.0439668111405898])",Compression,-7.0674057
37,0.9240173,-0.1482188932,3.018269610107989,3.0192581471179487,"([0.9240173, 0, 0], [0, 1.0403032344967258, 0], [0, 0, 1.0403032344967258])",Compression,-6.405117
38,0.9301504,-0.1260755535,3.0153696713925497,3.0161299566462745,"([0.9301504, 0, 0], [0, 1.0368678567619862, 0], [0, 0, 1.0368678567619862])",Compression,-5.7994137
39,0.9366243,-0.1048869486,3.012592979769046,3.01315491057648,"([0.9366243, 0, 0], [0, 1.033278254009673, 0], [0, 0, 1.033278254009673])",Compression,-5.1813564
40,0.9427574,-0.08704855419,3.0102280587387997,3.010638052007377,"([0.9427574, 0, 0], [0, 1.0299117786208778, 0], [0, 0, 1.0299117786208778])",Compression,-4.6145897
41,0.9492313,-0.07059628560999999,3.0080080886080047,3.008291167446267,"([0.9492313, 0, 0], [0, 1.0263936934013953, 0], [0, 0, 1.0263936934013953])",Compression,-4.0347176
42,0.9557051,-0.055858634010000005,3.006067987095256,3.0062540743966344,"([0.9557051, 0, 0], [0, 1.022911469514651, 0], [0, 0, 1.022911469514651])",Compression,-3.4723625
43,0.9618383,-0.04349192239,3.0044845069813673,3.0046023604082084,"([0.9618383, 0, 0], [0, 1.0196449361504418, 0], [0, 0, 1.0196449361504418])",Compression,-2.954565
44,0.9683121,-0.03211853454,3.0030780886346617,3.0031448835834498,"([0.9683121, 0, 0], [0, 1.0162307232189576, 0], [0, 0, 1.0162307232189576])",Compression,-2.422638
45,0.9744453,-0.02328549012,3.001993379993917,3.002028081037585,"([0.9744453, 0, 0], [0, 1.0130275754642188, 0], [0, 0, 1.0130275754642188])",Compression,-1.9315319
46,0.9809191,-0.01587461817,3.001106406477503,3.001120708482449,"([0.9809191, 0, 0], [0, 1.0096791880921119, 0], [0, 0, 1.0096791880921119])",Compression,-1.4256611
47,0.9870523,-0.009731094539999999,3.0005073269323588,3.000511753905152,"([0.9870523, 0, 0], [0, 1.006537402185599, 0], [0, 0, 1.006537402185599])",Compression,-0.95734787
48,0.9935261,-0.004197466579,3.000126280339831,3.0001268283155627,"([0.9935261, 0, 0], [0, 1.003252752041733, 0], [0, 0, 1.003252752041733])",Compression,-0.47366714
49,1.0,0.001183107833,3.0,3.0,"([1.0, 0, 0], [0, 1.0, 0], [0, 0, 1.0])",Compression,0.0
50,1.0103107,0.013802000000000002,3.0003167617045907,3.0003146028781345,"([1.0103107, 0, 0], [0, 0.9948841769698874, 0], [0, 0, 0.9948841769698874])",Tensile,0.73578835
51,1.0163167,0.67862,3.0007901554391276,3.000781675404821,"([1.0163167, 0, 0], [0, 0.9919401495907497, 0], [0, 0, 0.9919401495907497])",Tensile,1.1549568
52,1.0223227,1.271701,3.001473147639981,3.0014516240546407,"([1.0223227, 0, 0], [0, 0.9890221040767215, 0], [0, 0, 0.9890221040767215])",Tensile,1.5679245
53,1.028629,1.8610669999999998,3.00241323530029,3.0023682465802977,"([1.028629, 0, 0], [0, 0.9859857036639249, 0], [0, 0, 0.9859857036639249])",Tensile,1.9954948
54,1.034635,2.42753,3.003518436202137,3.003439466999056,"([1.034635, 0, 0], [0, 0.9831197416838746, 0], [0, 0, 0.9831197416838746])",Tensile,2.397501
55,1.040641,3.007366,3.00482606298627,3.004699572489105,"([1.040641, 0, 0], [0, 0.9802786267447816, 0], [0, 0, 0.9802786267447816])",Tensile,2.7949638
56,1.0469474,3.624774,3.006414505552091,3.006221267970278,"([1.0469474, 0, 0], [0, 0.9773217605234551, 0], [0, 0, 0.9773217605234551])",Tensile,3.2079506
57,1.0529534,4.205605,3.008130153111863,3.007855210319157,"([1.0529534, 0, 0], [0, 0.9745304742644796, 0], [0, 0, 0.9745304742644796])",Tensile,3.5976067
58,1.0589594,4.786117,3.010041544417069,3.009665232190275,"([1.0589594, 0, 0], [0, 0.9717629684158346, 0], [0, 0, 0.9717629684158346])",Tensile,3.9841614
59,1.0652657,5.388230999999999,3.0122568870114215,3.0117509283368893,"([1.0652657, 0, 0], [0, 0.9688823136519036, 0], [0, 0, 0.9688823136519036])",Tensile,4.3871765
60,1.0712717,5.961165,3.014563066797785,3.013909651706684,"([1.0712717, 0, 0], [0, 0.9661625152056187, 0], [0, 0, 0.9661625152056187])",Tensile,4.7687035
61,1.077578,6.561552000000001,3.017188481487655,3.0163531177045444,"([1.077578, 0, 0], [0, 0.9633312346757099, 0], [0, 0, 0.9633312346757099])",Tensile,5.167345
62,1.083584,7.137600999999999,3.019881058430284,3.0188448304876614,"([1.083584, 0, 0], [0, 0.960657788542383, 0], [0, 0, 0.960657788542383])",Tensile,5.5455437
63,1.08959,7.698154,3.022759190721353,3.0214935411583044,"([1.08959, 0, 0], [0, 0.9580064776976597, 0], [0, 0, 0.9580064776976597])",Tensile,5.9226933
64,1.0958963,8.281965,3.0259788933126406,3.024439901099087,"([1.0958963, 0, 0], [0, 0.9552460921037444, 0], [0, 0, 0.9552460921037444])",Tensile,6.317974
65,1.1019023,8.847169000000001,3.0292316276528295,3.0273998265947437,"([1.1019023, 0, 0], [0, 0.9526392152613548, 0], [0, 0, 0.9526392152613548])",Tensile,6.694111
66,1.1079083,9.419156,3.0326643546076686,3.030506567300894,"([1.1079083, 0, 0], [0, 0.9500535651737692, 0], [0, 0, 0.9500535651737692])",Tensile,7.070282
67,1.1142146,10.009993,3.036460526674434,3.0339232008061616,"([1.1142146, 0, 0], [0, 0.9473611644513601, 0], [0, 0, 0.9473611644513601])",Tensile,7.4656715
68,1.1202206,10.585223,3.040256825702888,3.0373211328625667,"([1.1202206, 0, 0], [0, 0.9448181393894087, 0], [0, 0, 0.9448181393894087])",Tensile,7.842945
69,1.1262266,11.158401,3.0442279125430822,3.040856509775991,"([1.1262266, 0, 0], [0, 0.9422954839103078, 0], [0, 0, 0.9422954839103078])",Tensile,8.221268
70,1.1325329,11.762924,3.0485838822911004,3.044713399071378,"([1.1325329, 0, 0], [0, 0.9396683225236153, 0], [0, 0, 0.9396683225236153])",Tensile,8.619972
71,1.1385389,12.317666000000001,3.0529082153117493,3.0485215286677425,"([1.1385389, 0, 0], [0, 0.9371865845440116, 0], [0, 0, 0.9371865845440116])",Tensile,9.001398
72,1.1448452,12.880686,3.057631605827,3.05265864839898,"([1.1448452, 0, 0], [0, 0.9346018066171176, 0], [0, 0, 0.9346018066171176])",Tensile,9.404039
73,1.1508512,13.391607999999998,3.0623026124356456,3.056727953214093,"([1.1508512, 0, 0], [0, 0.9321598918356779, 0], [0, 0, 0.9321598918356779])",Tensile,9.789871
74,1.1568573,13.899517999999999,3.0671405090681225,3.060920714576462,"([1.1568573, 0, 0], [0, 0.9297369779956137, 0], [0, 0, 0.9297369779956137])",Tensile,10.178314
75,1.1631636,14.419849,3.072398140083239,3.0654530545738012,"([1.1631636, 0, 0], [0, 0.9272131846879331, 0], [0, 0, 0.9272131846879331])",Tensile,10.589317
76,1.1691696,14.913666000000001,3.0775733615701157,3.069890810649967,"([1.1691696, 0, 0], [0, 0.924828580874844, 0], [0, 0, 0.924828580874844])",Tensile,10.984055
77,1.1751756,15.311059,3.0829110108736586,3.0744443993645456,"([1.1751756, 0, 0], [0, 0.9224622810820774, 0], [0, 0, 0.9224622810820774])",Tensile,11.382322
78,1.1814819,15.79305,3.088688849039526,3.0793477619599408,"([1.1814819, 0, 0], [0, 0.9199971111400068, 0], [0, 0, 0.9199971111400068])",Tensile,11.804644
79,1.1874879,16.227235999999998,3.094355200355902,3.084131526011815,"([1.1874879, 0, 0], [0, 0.9176676107691422, 0], [0, 0, 0.9176676107691422])",Tensile,12.211094
80,1.1937942,16.690154,3.1004752310202397,3.0892715875488252,"([1.1937942, 0, 0], [0, 0.9152405801390692, 0], [0, 0, 0.9152405801390692])",Tensile,12.642689
81,1.1998002,17.105407999999997,3.106464732798151,3.094276152211956,"([1.1998002, 0, 0], [0, 0.9129469351715112, 0], [0, 0, 0.9129469351715112])",Tensile,13.058636
82,1.2058062,17.524113,3.112609922547054,3.0993851658841916,"([1.2058062, 0, 0], [0, 0.9106704482381686, 0], [0, 0, 0.9106704482381686])",Tensile,13.479698
83,1.2121125,17.981731,3.11922857211649,3.1048597840898595,"([1.2121125, 0, 0], [0, 0.9082983704323816, 0], [0, 0, 0.9082983704323816])",Tensile,13.927677
84,1.2181185,18.404889999999998,3.1256890656319936,3.11017651638931,"([1.2181185, 0, 0], [0, 0.9060563960344145, 0], [0, 0, 0.9060563960344145])",Tensile,14.360243
85,1.2241245,18.932489999999998,3.132301534406711,3.115591554987855,"([1.2241245, 0, 0], [0, 0.9038309418542997, 0], [0, 0, 0.9038309418542997])",Tensile,14.798939
86,1.2304308,19.509220000000003,3.139406910865717,3.121381052730327,"([1.2304308, 0, 0], [0, 0.9015117739877493, 0], [0, 0, 0.9015117739877493])",Tensile,15.266552
87,1.2364368,20.044298,3.1463272982386004,3.12699168264052,"([1.2364368, 0, 0], [0, 0.8993195588455642, 0], [0, 0, 0.8993195588455642])",Tensile,15.718927
88,1.2424428,20.434248999999998,3.15339616493258,3.132694921145706,"([1.2424428, 0, 0], [0, 0.8971432588111945, 0], [0, 0, 0.8971432588111945])",Tensile,16.178528
89,1.2487491,20.692760999999997,3.160977070660704,3.138781046934542,"([1.2487491, 0, 0], [0, 0.894875062762924, 0], [0, 0, 0.894875062762924])",Tensile,16.669333
90,1.2547551,20.942269,3.1683468988709347,3.1446686217091147,"([1.2547551, 0, 0], [0, 0.892730793099164, 0], [0, 0, 0.892730793099164])",Tensile,17.145
91,1.2610615,21.195210999999997,3.176241581106857,3.150944621437419,"([1.2610615, 0, 0], [0, 0.8904957816645194, 0], [0, 0, 0.8904957816645194])",Tensile,17.653582
92,1.2670675,21.434026,3.1839079223017825,3.1570094217437243,"([1.2670675, 0, 0], [0, 0.8883827645630943, 0], [0, 0, 0.8883827645630943])",Tensile,18.147083
93,1.2730735,21.672178,3.1917173393964213,3.1631581949522833,"([1.2730735, 0, 0], [0, 0.8862847180771457, 0], [0, 0, 0.8862847180771457])",Tensile,18.649975
94,1.2793798,21.917725,3.200070119732948,3.169703061466606,"([1.2793798, 0, 0], [0, 0.8840976889136483, 0], [0, 0, 0.8840976889136483])",Tensile,19.188648
95,1.2853858,22.158635999999998,3.2081697391218618,3.1760191001202838,"([1.2853858, 0, 0], [0, 0.8820297852907864, 0], [0, 0, 0.8820297852907864])",Tensile,19.712334
96,1.2913918,22.389167999999998,3.2164094447874647,3.1824144260902014,"([1.2913918, 0, 0], [0, 0.8799763245906747, 0], [0, 0, 0.8799763245906747])",Tensile,20.246964
97,1.2976981,22.630807,3.2252108713905807,3.189213249068258,"([1.2976981, 0, 0], [0, 0.8778355519819674, 0], [0, 0, 0.8778355519819674])",Tensile,20.820734
98,1.3037041,22.8545,3.2337348231190903,3.1957665716436425,"([1.3037041, 0, 0], [0, 0.8758111790683766, 0], [0, 0, 0.8758111790683766])",Tensile,21.379616
99,1.3100104,23.058706,3.2428326849504936,3.202728172720985,"([1.3100104, 0, 0], [0, 0.8737005885434477, 0], [0, 0, 0.8737005885434477])",Tensile,21.98022
100,1.0,0.0,4.0,4.0,"([1.0, 1.0, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,2.9073386
101,1.0202803,0.724,4.04097189056809,4.04097189056809,"([1.0, 1.0202803, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,16.440857
102,1.0416192,1.57,4.08497055780864,4.08497055780864,"([1.0, 1.0416192, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,28.892725
103,1.0629581,2.341,4.1298799223556095,4.1298799223556095,"([1.0, 1.0629581, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,40.68668
104,1.084297,3.018,4.175699984209,4.175699984209,"([1.0, 1.084297, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,52.587482
105,1.104569,3.674,4.220072675761,4.220072675761,"([1.0, 1.104569, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,64.52735
106,1.1259079,4.312,4.26766859928241,4.26766859928241,"([1.0, 1.1259079, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,78.275665
107,1.1472468,4.969,4.316175220110241,4.316175220110241,"([1.0, 1.1472468, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,93.78078
108,1.1685857,5.533,4.36559253824449,4.36559253824449,"([1.0, 1.1685857, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,111.67762
109,1.1888577,6.059,4.41338263084929,4.41338263084929,"([1.0, 1.1888577, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,131.59502
110,1.2101966,6.648,4.46457581065156,4.46457581065156,"([1.0, 1.2101966, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,156.5569
111,1.2315355,7.155,4.5166796877602495,4.5166796877602495,"([1.0, 1.2315355, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,186.8446
112,1.2528744,7.651,4.569694262175361,4.569694262175361,"([1.0, 1.2528744, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,224.09593
113,1.2731464,8.107,4.62090175583296,4.62090175583296,"([1.0, 1.2731464, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,267.91898
114,1.2944853,8.585,4.67569219191609,4.67569219191609,"([1.0, 1.2944853, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,325.7345
115,1.3158242,9.063,4.73139332530564,4.73139332530564,"([1.0, 1.3158242, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,399.44876
116,1.3371631,9.494,4.78800515600161,4.78800515600161,"([1.0, 1.3371631, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,494.52225
117,1.3574351,9.884,4.84263005071201,4.84263005071201,"([1.0, 1.3574351, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,611.5062
118,1.378774,10.373,4.901017743076,4.901017743076,"([1.0, 1.378774, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,772.83594
119,1.4001129,10.819,4.96031613274641,4.96031613274641,"([1.0, 1.4001129, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,987.9731
120,1.4214518,11.228,5.02052521972324,5.02052521972324,"([1.0, 1.4214518, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1278.1272
121,1.4417238,11.632,5.078567515486441,5.078567515486441,"([1.0, 1.4417238, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1651.0103
122,1.4630627,12.056,5.14055246413129,5.14055246413129,"([1.0, 1.4630627, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,2188.2917
123,1.4844016,12.406,5.20344811008256,5.20344811008256,"([1.0, 1.4844016, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,2937.8767
124,1.5057405,12.885,5.26725445334025,5.26725445334025,"([1.0, 1.5057405, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,3996.0059
125,1.5260125,13.202,5.32871415015625,5.32871415015625,"([1.0, 1.5260125, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,5418.269
126,1.5473514,13.617,5.394296355081959,5.394296355081959,"([1.0, 1.5473514, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,7563.5034
127,1.5686903,14.012,5.46078925731409,5.46078925731409,"([1.0, 1.5686903, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,10702.18
128,1.5900292,14.422,5.52819285685264,5.52819285685264,"([1.0, 1.5900292, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,15352.559
129,1.6103012,14.76,5.59306995472144,5.59306995472144,"([1.0, 1.6103012, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,21910.129
130,1.6316401,15.214,5.66224941592801,5.66224941592801,"([1.0, 1.6316401, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,32300.312
131,1.652979,15.54,5.732339574440999,5.732339574440999,"([1.0, 1.652979, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,48304.0
132,1.674318,15.935,5.803340765124,5.803340765124,"([1.0, 1.674318, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,73296.43
133,1.6945899,16.3,5.87163492918201,5.87163492918201,"([1.0, 1.6945899, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,110429.64
134,1.7159288,16.705,5.94441164666944,5.94441164666944,"([1.0, 1.7159288, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,172525.39
135,1.7372677,17.106,6.018099061463291,6.018099061463291,"([1.0, 1.7372677, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,273723.38
136,1.7586067,17.472,6.0926975252848905,6.0926975252848905,"([1.0, 1.7586067, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,441174.78
137,1.7788786,17.865,6.164409073537961,6.164409073537961,"([1.0, 1.7788786, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,704716.0
138,1.8002175,18.266,6.24078304730625,6.24078304730625,"([1.0, 1.8002175, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1172439.2
139,1.8215564,18.639,6.318067718380959,6.318067718380959,"([1.0, 1.8215564, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,1983685.0
140,1.8428954,19.067,6.39626345534116,6.39626345534116,"([1.0, 1.8428954, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,3414586.5
141,1.8631673,19.416,6.47139238778929,6.47139238778929,"([1.0, 1.8631673, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,5814277.5
142,1.8845062,19.865,6.55136361783844,6.55136361783844,"([1.0, 1.8845062, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,10362314.0
143,1.9058451,20.278,6.63224554519401,6.63224554519401,"([1.0, 1.9058451, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,18811810.0
144,1.9271841,20.708,6.71403855529281,6.71403855529281,"([1.0, 1.9271841, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,34802024.0
145,1.947456,21.057,6.7925848719360005,6.7925848719360005,"([1.0, 1.947456, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,63560736.0
146,1.9687949,21.511,6.87615335826601,6.87615335826601,"([1.0, 1.9687949, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,122152984.0
147,1.9901338,21.954,6.96063254190244,6.96063254190244,"([1.0, 1.9901338, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,239545680.0
148,2.0114728,22.391,7.04602282513984,7.04602282513984,"([1.0, 2.0114728, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,479561630.0
149,2.0328117,22.81,7.132323407656889,7.132323407656889,"([1.0, 2.0328117, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,980543550.0
